lgd_district_name,lgd_state_name,lgd_district_name_google
,tamil nadu,thoothukudi
anantapur,andhra pradesh,anantapuram
chittoor,andhra pradesh,chittoor
east godavari,andhra pradesh,east godavari
guntur,andhra pradesh,guntur
krishna,andhra pradesh,krishna
kurnool,andhra pradesh,kurnool
prakasam,andhra pradesh,prakasam
spsr nellore,andhra pradesh,sri potti sriramulu nellore district
srikakulam,andhra pradesh,srikakulam
visakhapatanam,andhra pradesh,vishakhapatnam
vizianagaram,andhra pradesh,vizianagaram
west godavari,andhra pradesh,west godavari
y.s.r.,andhra pradesh,ysr district
araria,bihar,araria
arwal,bihar,arwal
aurangabad,bihar,aurangabad
banka,bihar,banka
begusarai,bihar,begusarai
bhagalpur,bihar,bhagalpur
bhojpur,bihar,bhojpur
buxar,bihar,buxar
darbhanga,bihar,darbhanga
gaya,bihar,gaya
gopalganj,bihar,gopalganj
jamui,bihar,jamui
jehanabad,bihar,jehanabad
kaimur (bhabua),bihar,kaimur
katihar,bihar,katihar
khagaria,bihar,khagaria
kishanganj,bihar,kishanganj
lakhisarai,bihar,lakhisarai
madhepura,bihar,madhepura
madhubani,bihar,madhubani
munger,bihar,munger
muzaffarpur,bihar,muzaffarpur
nalanda,bihar,nalanda
nawada,bihar,nawada
pashchim champaran,bihar,pashchim champaran
patna,bihar,patna
purbi champaran,bihar,purvi champaran
purnia,bihar,purnia
rohtas,bihar,rohtas
saharsa,bihar,saharsa
samastipur,bihar,samastipur
saran,bihar,saran
sheikhpura,bihar,sheikhpura
sheohar,bihar,sheohar
siwan,bihar,siwan
supaul,bihar,supaul
vaishali,bihar,vaishali
central,delhi,central delhi
east,delhi,east delhi
new delhi,delhi,new delhi
north,delhi,north delhi
north east,delhi,north east delhi
north west,delhi,north west delhi
shahdara,delhi,shahdara
south,delhi,south delhi
south east,delhi,south east delhi
south west,delhi,south west delhi
west,delhi,west delhi
bagalkote,karnataka,bagalkot
ballari,karnataka,bellary
belagavi,karnataka,belagavi
bengaluru rural,karnataka,bangalore rural
bengaluru urban,karnataka,bangalore urban
bidar,karnataka,bidar
chamarajanagara,karnataka,chamarajanagar
chikkaballapura,karnataka,chikballapur
chikkamagaluru,karnataka,chikkamagaluru
chitradurga,karnataka,chitradurga
dakshina kannada,karnataka,dakshina kannada
davangere,karnataka,davanagere
dharwad,karnataka,dharwad
gadag,karnataka,gadag
hassan,karnataka,hassan
haveri,karnataka,haveri
kalaburagi,karnataka,gulbarga
kodagu,karnataka,kodagu
kolar,karnataka,kolar
koppal,karnataka,koppal
mandya,karnataka,mandya
mysuru,karnataka,mysuru
raichur,karnataka,raichur
ramanagara,karnataka,ramanagara
shivamogga,karnataka,shimoga
tumakuru,karnataka,tumkur
udupi,karnataka,udupi
uttara kannada,karnataka,uttara kannada
vijayapura,karnataka,bijapur
yadgir,karnataka,yadgir
ahmednagar,maharashtra,ahmednagar
akola,maharashtra,akola
amravati,maharashtra,amravati
aurangabad,maharashtra,aurangabad
beed,maharashtra,beed
bhandara,maharashtra,bhandara
buldhana,maharashtra,buldhana
chandrapur,maharashtra,chandrapur
dhule,maharashtra,dhule
gadchiroli,maharashtra,gadchiroli
gondia,maharashtra,gondia
hingoli,maharashtra,hingoli
jalgaon,maharashtra,jalgaon
jalna,maharashtra,jalna
kolhapur,maharashtra,kolhapur
latur,maharashtra,latur
mumbai,maharashtra,mumbai
mumbai suburban,maharashtra,mumbai suburban
nagpur,maharashtra,nagpur
nanded,maharashtra,nanded
nandurbar,maharashtra,nandurbar
nashik,maharashtra,nashik
osmanabad,maharashtra,osmanabad
palghar,maharashtra,palghar
parbhani,maharashtra,parbhani
pune,maharashtra,pune
raigad,maharashtra,raigad
ratnagiri,maharashtra,ratnagiri
sangli,maharashtra,sangli
satara,maharashtra,satara
sindhudurg,maharashtra,sindhudurg
solapur,maharashtra,solapur
thane,maharashtra,thane
wardha,maharashtra,wardha
washim,maharashtra,washim
yavatmal,maharashtra,yavatmal
ariyalur,tamil nadu,ariyalur
chennai,tamil nadu,chennai
coimbatore,tamil nadu,coimbatore
cuddalore,tamil nadu,cuddalore
dharmapuri,tamil nadu,dharmapuri
dindigul,tamil nadu,dindigul
erode,tamil nadu,erode
kanchipuram,tamil nadu,kanchipuram
kanniyakumari,tamil nadu,kanyakumari
karur,tamil nadu,karur
krishnagiri,tamil nadu,krishnagiri
madurai,tamil nadu,madurai
nagapattinam,tamil nadu,nagapattinam
namakkal,tamil nadu,namakkal
perambalur,tamil nadu,perambalur
pudukkottai,tamil nadu,pudukkottai
ramanathapuram,tamil nadu,ramanathapuram
salem,tamil nadu,salem
sivaganga,tamil nadu,sivaganga
thanjavur,tamil nadu,thanjavur
the nilgiris,tamil nadu,nilgiris
theni,tamil nadu,theni
thiruvallur,tamil nadu,tiruvallur
thiruvarur,tamil nadu,thiruvarur
tiruchirappalli,tamil nadu,tiruchirappalli
tirunelveli,tamil nadu,tirunelveli
tiruppur,tamil nadu,tiruppur
tiruvannamalai,tamil nadu,tiruvannamalai
vellore,tamil nadu,vellore
villupuram,tamil nadu,villupuram
virudhunagar,tamil nadu,virudhunagar
