date,lgd_district_name,lgd_state_name,npi_border,npi_curfew,npi_industry,npi_lockdown,npi_mask,npi_retail,npi_school,npi_surveillance,npi_temple,npi_transport,npi_cu,district,av_npi_cu,npi_cu_scale,av_npi_cu_scale,sdgroup,state
30jan2020,anantapur,andhra pradesh,0,0,0,0,0,0,0,0,0,0,0,1,,0,,2,andhra pradesh
31jan2020,anantapur,andhra pradesh,0,0,0,0,0,0,0,0,0,0,0,1,,0,,8,andhra pradesh
01feb2020,anantapur,andhra pradesh,0,0,0,0,0,0,0,0,0,0,0,1,,0,,14,andhra pradesh
02feb2020,anantapur,andhra pradesh,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,andhra pradesh
03feb2020,anantapur,andhra pradesh,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,26,andhra pradesh
04feb2020,anantapur,andhra pradesh,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,andhra pradesh
05feb2020,anantapur,andhra pradesh,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,38,andhra pradesh
06feb2020,anantapur,andhra pradesh,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,44,andhra pradesh
07feb2020,anantapur,andhra pradesh,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,50,andhra pradesh
08feb2020,anantapur,andhra pradesh,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,56,andhra pradesh
09feb2020,anantapur,andhra pradesh,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,62,andhra pradesh
10feb2020,anantapur,andhra pradesh,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,68,andhra pradesh
11feb2020,anantapur,andhra pradesh,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,74,andhra pradesh
12feb2020,anantapur,andhra pradesh,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,80,andhra pradesh
13feb2020,anantapur,andhra pradesh,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,86,andhra pradesh
14feb2020,anantapur,andhra pradesh,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,92,andhra pradesh
15feb2020,anantapur,andhra pradesh,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,98,andhra pradesh
16feb2020,anantapur,andhra pradesh,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,104,andhra pradesh
